controller,method,url,permission
ServerController,getInfo,/monitor/server,monitor:server:list
CacheController,getInfo,/monitor/cache,monitor:cache:list
CacheController,cache,/monitor/cache/getNames,monitor:cache:list
CacheController,getCacheKeys,/monitor/cache/getKeys/{cacheName},monitor:cache:list
CacheController,getCacheValue,/monitor/cache/getValue/{cacheName}/{cacheKey},monitor:cache:list
CacheController,clearCacheName,/monitor/cache/clearCacheName/{cacheName},monitor:cache:list
CacheController,clearCacheKey,/monitor/cache/clearCacheKey/{cacheKey},monitor:cache:list
CacheController,clearCacheAll,/monitor/cache/clearCacheAll,monitor:cache:list
SysJobController,list,/monitor/job/list,monitor:job:list
SysJobController,export,/monitor/job/export,monitor:job:export
SysJobController,getInfo,/monitor/job/{jobId},monitor:job:query
SysJobController,add,/monitor/job,monitor:job:add
SysJobController,edit,/monitor/job,monitor:job:edit
SysJobController,changeStatus,/monitor/job/changeStatus,monitor:job:changeStatus
SysJobController,run,/monitor/job/run,monitor:job:changeStatus
SysJobController,remove,/monitor/job/{jobIds},monitor:job:remove
SysJobLogController,list,/monitor/jobLog/list,monitor:job:list
SysJobLogController,export,/monitor/jobLog/export,monitor:job:export
SysJobLogController,getInfo,/monitor/jobLog/{jobLogId},monitor:job:query
SysJobLogController,remove,/monitor/jobLog/{jobLogIds},monitor:job:remove
SysJobLogController,clean,/monitor/jobLog/clean,monitor:job:remove
SysLogininforController,list,/monitor/logininfor/list,monitor:logininfor:list
SysLogininforController,export,/monitor/logininfor/export,monitor:logininfor:export
SysLogininforController,remove,/monitor/logininfor/{infoIds},monitor:logininfor:remove
SysLogininforController,clean,/monitor/logininfor/clean,monitor:logininfor:remove
SysLogininforController,unlock,/monitor/logininfor/unlock/{userName},monitor:logininfor:unlock
SysOperlogController,list,/monitor/operlog/list,monitor:operlog:list
SysOperlogController,export,/monitor/operlog/export,monitor:operlog:export
SysOperlogController,remove,/monitor/operlog/{operIds},monitor:operlog:remove
SysOperlogController,clean,/monitor/operlog/clean,monitor:operlog:remove
SysUserOnlineController,list,/monitor/online/list,monitor:online:list
SysUserOnlineController,forceLogout,/monitor/online/{tokenId},monitor:online:forceLogout
AgentRegistryController,list,/agent/registry/list,agent:registry:list
AgentRegistryController,export,/agent/registry/export,agent:registry:export
AgentRegistryController,getInfo,/agent/registry/{id},agent:registry:query
AgentRegistryController,add,/agent/registry,agent:registry:add
AgentRegistryController,edit,/agent/registry,agent:registry:edit
AgentRegistryController,remove,/agent/registry/{ids},agent:registry:remove
AgentRegistryController,offline,/agent/registry/offline,agent:registry:offline
RcAccessTokenController,list,/rc/accessToken/list,rc:accessToken:list
RcAccessTokenController,export,/rc/accessToken/export,rc:accessToken:export
RcAccessTokenController,getInfo,/rc/accessToken/{id},rc:accessToken:query
RcAccessTokenController,add,/rc/accessToken,rc:accessToken:add
RcAccessTokenController,edit,/rc/accessToken,rc:accessToken:edit
RcAccessTokenController,remove,/rc/accessToken/{ids},rc:accessToken:remove
RcAccessTokenController,changeStatus,/rc/accessToken/changeStatus,rc:accessToken:edit
RcConfigController,list,/rc/config/list,rc:configCenter:list
RcConfigController,export,/rc/config/export,rc:configCenter:export
RcConfigController,preview,/rc/config/preview,rc:configCenter:export
RcConfigController,getInfo,/rc/config/{id},rc:configCenter:query
RcConfigController,add,/rc/config,rc:configCenter:add
RcConfigController,edit,/rc/config,rc:configCenter:edit
RcConfigController,remove,/rc/config/{ids},rc:configCenter:remove
RcConfigController,importConfig,/rc/config/import,rc:configCenter:import
RcEnvController,list,/rc/env/list,rc:envManage:list
RcEnvController,export,/rc/env/export,rc:envManage:export
RcEnvController,getInfo,/rc/env/{id},rc:envManage:query
RcEnvController,add,/rc/env,rc:envManage:add
RcEnvController,edit,/rc/env,rc:envManage:edit
RcEnvController,remove,/rc/env/{ids},rc:envManage:remove
RcNodeController,list,/rc/node/list,rc:registryCenter:list
RcNodeController,export,/rc/node/export,rc:registryCenter:export
RcNodeController,getInfo,/rc/node/{id},rc:registryCenter:query
RcNodeController,add,/rc/node,rc:registryCenter:add
RcNodeController,edit,/rc/node,rc:registryCenter:edit
RcNodeController,remove,/rc/node/{ids},rc:registryCenter:remove
RcProjectController,list,/rc/project/list,rc:appManage:list
RcProjectController,export,/rc/project/export,rc:appManage:export
RcProjectController,getInfo,/rc/project/{id},rc:appManage:query
RcProjectController,add,/rc/project,rc:appManage:add
RcProjectController,edit,/rc/project,rc:appManage:edit
RcProjectController,remove,/rc/project/{ids},rc:appManage:remove
SysConfigController,list,/system/config/list,system:config:list
SysConfigController,export,/system/config/export,system:config:export
SysConfigController,getInfo,/system/config/{configId},system:config:query
SysConfigController,add,/system/config,system:config:add
SysConfigController,edit,/system/config,system:config:edit
SysConfigController,remove,/system/config/{configIds},system:config:remove
SysConfigController,refreshCache,/system/config/refreshCache,system:config:remove
SysDeptController,list,/system/dept/list,system:dept:list
